p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.94248453001489e-8,0.36504488539923785,0.465,0.306,0.0018731517510433174,16,Eif3a
6.966649258211113e-8,0.3646760323653728,0.261,0.137,0.0018796716363579404,16,Usp15
7.305863270812622e-8,0.2599889019937813,0.243,0.124,0.0019711949690979537,16,Magi2
7.554640315110242e-8,0.26393554435385336,0.181,0.082,0.0020383175034198943,16,Stag2
7.811427488077224e-8,-6.684326341449164,0.509,0.357,0.0021076012505581157,16,Cd47
8.309349943390483e-8,0.6703756025744463,0.354,0.221,0.002241945708226186,16,Tm9sf3
8.571774012218797e-8,-6.90105220857519,0.765,0.64,0.0023127503462367534,16,Mdh2
8.893683787857605e-8,-1.571587534705713,0.394,0.547,0.00239960482280186,16,Serf1
9.279787633208092e-8,-0.6152357260885303,0.044,0.18,0.0025037795013158753,16,Gm49001
9.455367747700222e-8,0.49874691306791685,0.372,0.231,0.0025511527720069966,16,Mrpl50
9.583825741111401e-8,0.4703208520069494,0.425,0.275,0.0025858120232092672,16,Sae1
9.755312868109268e-8,-0.4319907645201149,0.044,0.182,0.0026320809649445615,16,Sdk2
9.948513413846672e-8,0.7257012627884256,0.487,0.332,0.0026842084041899705,16,Huwe1
1.0002387973441388e-7,-1.545626941403699,0.434,0.597,0.0026987442991142207,16,Pnisr
1.0317356419857039e-7,0.872856910620134,0.646,0.489,0.0027837259356416275,16,Glrx3
1.0569432105258008e-7,0.3640738299447488,0.354,0.209,0.0028517384763196633,16,Raly
1.1083114686278344e-7,0.32824617901102404,0.597,0.444,0.00299033517350476,16,Hdgf
1.319643939834237e-7,0.2737572869891898,0.456,0.296,0.003560531314066755,16,Smarca5
1.3829184476716036e-7,-0.45356151104543585,0.699,0.599,0.0037312522636627535,16,Cbx3
1.383902600667402e-7,-8.88191401540241,0.27,0.428,0.003733907606860717,16,Rpl21
1.404042731985996e-7,-26.53356488602263,0.903,0.785,0.003788247695171416,16,Cox6c
1.5596452964568876e-7,-11.095703580925147,0.571,0.412,0.004208078974370329,16,Pola2
1.6367933261394876e-7,-8.770314139720428,0.779,0.647,0.004416232073256952,16,Ndufb9
1.6827093875122166e-7,-0.6499222848977393,0.124,0.279,0.004540118198446711,16,R3hdm4
1.9310527245749762e-7,0.6191724127843683,0.425,0.273,0.005210173356175744,16,Cep170
1.9664422967832162e-7,-5.371554579273944,0.836,0.735,0.005305657960950796,16,Eif5
2.0347452696816301e-7,-19.185224800567525,0.965,0.873,0.005489946212128006,16,Rpl23
2.0436639586556277e-7,0.6220549686733077,0.442,0.294,0.005514009726848749,16,Gspt1
2.0953471429760653e-7,-3.1028807411771613,0.465,0.582,0.005653456126463722,16,Laptm4a
2.1244911248867605e-7,0.3414935975447893,0.15,0.065,0.005732089504056968,16,Wnk3
2.162593514146922e-7,-8.502023846593413,0.735,0.575,0.00583489356051981,16,Uqcr10
2.1881757749258563e-7,-0.6244942547727956,0.69,0.515,0.005903917058327453,16,Ndufv3
2.263022758649079e-7,-1.7548422194876552,0.478,0.611,0.00610586170511108,16,Nrxn3
2.267360404235657e-7,0.6094781258765927,0.42,0.269,0.006117565106668226,16,Tulp4
2.3056360331094727e-7,-5.648885608435187,0.858,0.719,0.006220836580932668,16,Rpsa
2.328003601081305e-7,0.266672494268693,0.168,0.076,0.006281186516077469,16,Apip
2.3322947302574647e-7,-3.2840351833152512,0.637,0.737,0.0062927644117076655,16,Elavl3
2.406064384249574e-7,0.583197275872811,0.628,0.503,0.006491802315143776,16,Spcs2
2.4211757566186227e-7,-3.773194078456579,0.168,0.325,0.006532574308932706,16,Med22
2.6861856210149816e-7,-5.685986777420393,0.779,0.641,0.007247597424060522,16,Atp5mpl
2.722450291200858e-7,-0.9633048694208884,0,0.105,0.007345443130689035,16,Rpsa-ps10
2.722458421498767e-7,-2.046423390619589,0.854,0.714,0.007345465067045823,16,Rpl24
2.735521011677305e-7,-0.49049510512768835,0.044,0.173,0.007380709241606536,16,Cald1
2.7594594653125794e-7,-0.7514039185285306,0.491,0.32,0.007445297583359871,16,Tmem147
2.7766291034200457e-7,0.5083165208565958,0.473,0.324,0.007491622983937626,16,Cdc123
2.85365294680331e-7,-4.1807709299141536,0.925,0.855,0.00769944101577001,16,Hmgn1
3.0405224815870743e-7,0.555888683907332,0.792,0.651,0.008203633707570084,16,Cct6a
3.054227866657162e-7,0.4167237372155598,0.319,0.189,0.00824061220702769,16,Srsf9
3.075126967253991e-7,-68.73261341749567,1,0.993,0.008297000070347994,16,mt-Nd1
3.3817025684865654e-7,0.36484477767598456,0.416,0.267,0.009124171700033603,16,Phpt1
3.44263605677502e-7,-0.33107264105157663,0,0.103,0.009288576344784681,16,Rps19-ps6
3.475128644735168e-7,-23.221210975818988,0.996,0.963,0.009376244596359957,16,Eif4a1
3.629702733968374e-7,0.33369267062337854,0.164,0.075,0.00979330094652007,16,Trp53bp1
3.786211307371375e-7,0.6850255765080795,0.456,0.317,0.010215576728418708,16,Smarce1
3.8013041116816035e-7,-0.5767544331419792,0.102,0.244,0.010256298623728134,16,Ccng2
3.9216841385582124e-7,0.2664972978526764,0.274,0.151,0.010581095974243913,16,Gmfb
4.02944570931897e-7,0.38494936419513204,0.686,0.524,0.010871847468313513,16,Anp32e
4.058364063753954e-7,-249.9054850002972,0,0.102,0.010949872080414542,16,Ptgds
