p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.0452580378318985,0.333,0.026,0,12,Xylt1
0,1.0279995586351869,0.631,0.146,0,12,Nlgn3
0,1.0193041563554728,0.336,0.018,0,12,Sapcd2
0,1.0164788516211694,0.337,0.037,0,12,Afap1l2
0,1.0060780053796288,0.327,0.022,0,12,Omg
0,0.8897219289705599,0.252,0.008,0,12,Gm21846
0,0.8747961034583152,0.324,0.038,0,12,Itpr2
0,0.8477129036304485,0.318,0.02,0,12,Cdh13
0,0.834826664995268,0.415,0.056,0,12,Ppp1r14c
0,0.8236067370799672,0.302,0.039,0,12,Cbr3
0,0.8014734101517278,0.273,0.03,0,12,Sdc3
0,0.7459612911878382,0.282,0.029,0,12,B3gat2
0,0.7160493364351579,0.189,0.002,0,12,Gsx1
0,0.6961411409988649,0.239,0.017,0,12,Galnt13
0,0.692520900298832,0.574,0.115,0,12,Rlbp1
0,0.6833066841280258,0.503,0.094,0,12,AW047730
0,0.6700102487580486,0.233,0.014,0,12,Grid2
0,0.6377654826652853,0.152,0.008,0,12,Calcrl
0,0.6314733763769348,0.191,0.011,0,12,Igfbp3
0,0.6310565898950563,0.234,0.015,0,12,Tnr
0,0.6188468210782164,0.235,0.024,0,12,Lrrtm1
0,0.5936567645951487,0.203,0.008,0,12,Gm49530
0,0.5920277003379105,0.176,0.007,0,12,A930009A15Rik
0,0.5809063041020874,0.182,0.007,0,12,Sstr1
0,0.5691226223692482,0.194,0.009,0,12,Tnk1
0,0.5366816126780828,0.201,0.016,0,12,Gal3st1
0,0.5363346572286241,0.178,0.006,0,12,Gm49614
0,0.5317687420471819,0.203,0.012,0,12,Dmrtb1
0,0.531132309681856,0.214,0.008,0,12,Skint7
0,0.5293040152403681,0.15,0.009,0,12,Inava
0,0.5093389417811661,0.185,0.014,0,12,Stk32a
0,0.4795930813442754,0.16,0.01,0,12,Prkg2
0,0.4274873912604329,0.118,0.002,0,12,Npas1
0,0.3861885606167108,0.106,0.003,0,12,Fam89a
0,0.3785569125357015,0.138,0.004,0,12,Slc7a3
0,0.3772711734603397,0.155,0.008,0,12,Gm4876
0,0.36158199928386214,0.124,0.003,0,12,Tafa4
0,0.34896919927737,0.969,0.057,0,12,Olig1
0,0.33255648479293626,0.136,0.005,0,12,C1ql2
0,0.331498810981979,0.119,0.002,0,12,Chrna4
3.575142788891606e-305,0.35624944460324837,0.116,0.005,9.646092758708442e-301,12,Chst5
6.622771805833601e-304,0.9352084583054654,0.306,0.042,1.786890060931964e-299,12,Idua
5.8432120620421775e-298,0.3576981385004391,0.133,0.008,1.5765570464596e-293,12,Tmem255a
3.023332752090745e-294,0.6288642614202972,0.226,0.024,8.157254098416039e-290,12,Eps8
5.666417118763999e-291,1.4539242823069638,0.452,0.094,1.5288560028137145e-286,12,Adgrl3
4.844613955234188e-289,0.9408395979673982,0.418,0.08,1.3071252912617363e-284,12,Plppr5
6.784259246774044e-287,1.4062282067641048,0.396,0.073,1.830460987372105e-282,12,Chadl
2.553982581823807e-282,0.6371029530201782,0.24,0.028,6.890900404018814e-278,12,Csmd1
4.482311343627391e-279,0.5980517040118203,0.209,0.021,1.2093724236241065e-274,12,Megf11
6.608634081200666e-273,9.804146225390932,0.765,0.319,1.7830755614487517e-268,12,Arl2bp
9.828687390798956e-273,1.5681330905209654,0.517,0.128,2.6518781449114664e-268,12,Rab31
2.390593363252401e-272,1.0236181899528232,0.428,0.087,6.450059953391303e-268,12,Wscd1
7.071249464855529e-272,0.3576811823008794,0.215,0.023,1.9078938181126702e-267,12,Cav1
8.579108061514584e-271,1.8119222256209808,0.413,0.082,2.3147291460772502e-266,12,Khdrbs2
3.7820734752202776e-268,2.2619763127168193,0.517,0.129,1.0204412443491832e-263,12,Maml2
2.367782272985027e-263,0.6781029393658241,0.227,0.027,6.388513350740901e-259,12,Zcchc24
