p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.816773638664833e-212,3.872677839454848,0.738,0.258,1.5694236954481586e-207,25,Atp6v0e2
1.3424444529259121e-210,1.5212520053824339,0.577,0.14,3.6220493784394035e-206,25,Gria1
1.4072244819547711e-210,0.7476179127101787,0.222,0.022,3.796832374762168e-206,25,Ildr2
9.377063290151005e-210,0.3543297028161508,0.134,0.008,2.5300254463156425e-205,25,Sp7
7.7218116877896376e-208,2.5923808691129366,0.532,0.125,2.083422011482522e-203,25,A330023F24Rik
1.033678885934146e-207,1.7606700774435429,0.459,0.093,2.7889690021389194e-203,25,Ppfia2
1.737165459848944e-207,0.6552631078502952,0.194,0.017,4.6870461272184355e-203,25,Nab2
3.378373378651862e-206,1.8937740508643897,0.27,0.034,9.115189212940589e-202,25,Btbd3
5.285672694150835e-206,1.2998462416189818,0.285,0.037,1.4261273496088367e-201,25,Olfr539
2.98659254645465e-205,0.5257141446291889,0.207,0.02,8.058125349589292e-201,25,Ankrd45
6.679318059575825e-205,1.7008400969471542,0.406,0.074,1.8021468056541535e-200,25,Map1a
1.365483978289132e-204,4.114978499802415,0.733,0.253,3.684212321821907e-200,25,Tpi1
4.1738623978561276e-204,1.9998797396147443,0.4,0.072,1.1261498135655618e-199,25,ENSMUSG00002075338
1.694978969163024e-203,0.5409008446261925,0.179,0.015,4.573222756698754e-199,25,Kcnk12
3.8253782499257135e-203,1.0514501234531939,0.342,0.053,1.0321253056124568e-198,25,Arhgap20
9.443694259312053e-203,1.073709100742265,0.35,0.055,2.548003148104985e-198,25,Lgi1
5.7338761134352696e-201,3.8584089728821533,0.285,0.038,1.54705711416597e-196,25,Ankrd29
6.798440416323451e-199,2.6662462963214164,0.585,0.156,1.83428720872823e-194,25,Sipa1l1
1.603586074861468e-198,0.44437438934543394,0.932,0.506,4.326635588583727e-194,25,Fam171b
1.7442432091655124e-198,1.0673888624936076,0.282,0.037,4.706142602649469e-194,25,Cygb
3.1519026709382002e-198,0.6620515048486619,0.194,0.018,8.504148596458358e-194,25,Them6
3.662048517033073e-198,0.6562312869962343,0.191,0.017,9.880573103806935e-194,25,Fgf9
6.729594923227938e-198,4.605903635454026,0.748,0.26,1.81571200623613e-193,25,Gnai1
2.2056399991675533e-197,0.9175615222132689,0.106,0.005,5.951037281753976e-193,25,Gm10419
4.773719241745379e-196,0.5667501742753486,0.197,0.019,1.2879971886153206e-191,25,C2cd2l
6.930586682765321e-193,2.3102211682456133,0.468,0.101,1.8699415928769113e-188,25,Lix1
8.591467835701056e-193,1.2658981386364703,0.428,0.086,2.318063936750502e-188,25,Mapre3
1.0036796264838963e-192,0.2890677022558492,0.294,0.041,2.7080280002162006e-188,25,Gm47477
7.088970622020296e-192,0.6774409416842347,0.163,0.013,1.912675163527296e-187,25,Runx2os1
1.2757880834188614e-191,1.0602716811274298,0.36,0.062,3.44220382787243e-187,25,Homer1
3.301207241882221e-191,2.573615024350015,0.529,0.131,8.906987259322421e-187,25,Rpp25
1.5852686246928014e-189,0.45624820333806576,0.166,0.014,4.277213276283648e-185,25,Agap2
2.3778075021078402e-188,1.169254511402539,0.313,0.048,6.415562421437163e-184,25,Scn1a
5.157625567160211e-188,6.471505867694392,0.809,0.36,1.3915789542754966e-183,25,Ctxn1
1.2282326519872001e-187,1.0306497805983301,0.262,0.034,3.3138945183266647e-183,25,Nog
2.5174868538377803e-187,2.9032195679328914,0.62,0.187,6.792431280339715e-183,25,Scamp1
3.000922851091456e-187,0.4988953186214413,0.652,0.21,8.096789944529858e-183,25,Gpi1
2.2516950363120238e-186,4.578280460538339,0.799,0.342,6.075298377473471e-182,25,Dclk1
7.884162886254163e-186,1.99003689425072,0.444,0.096,2.1272259883402357e-181,25,Prr7
2.5203431575903133e-185,0.6604513894102775,0.224,0.026,6.800137873494424e-181,25,Slc2a3
2.9281610074238246e-185,0.4034522456853009,0.118,0.007,7.900471214130221e-181,25,Fosl2
3.4671316100374364e-185,0.5086364992821177,0.149,0.011,9.354667797042007e-181,25,Gm11655
4.263354005801679e-185,1.109915671820712,0.415,0.083,1.150295544305351e-180,25,Plppr5
7.279312406823799e-183,1.3302665095037067,0.368,0.067,1.9640312804851292e-178,25,Sult4a1
1.1110041802530969e-182,0.8390160556149449,0.348,0.06,2.9976003787408807e-178,25,Gmpr
3.432225476970071e-182,0.9575471964116506,0.216,0.024,9.260487559412948e-178,25,Pak6
1.124011276393794e-181,0.5394412553012298,0.179,0.017,3.0326948248380956e-177,25,Adra1a
1.541587182055777e-181,1.4808411860728605,0.459,0.102,4.159356375904692e-177,25,Sh3glb2
2.221852202229262e-181,0.5309619431667292,0.172,0.016,5.994779426834772e-177,25,Gm44230
2.299118609659606e-181,19.831104947088434,0.964,0.789,6.203251920722583e-177,25,Cox8a
5.33638192716558e-181,12.04674960474508,0.985,0.622,1.4398092077685452e-176,25,Meis2
2.0301329439992333e-180,1.41667476085163,0.328,0.054,5.477501696204331e-176,25,Ptpro
3.5206301305953995e-180,0.8969333417264387,0.267,0.037,9.499012155359448e-176,25,Dpp10
5.556268792867285e-180,1.0400554166884597,0.413,0.083,1.499136883003522e-175,25,Syt5
3.6834602292611905e-179,3.2575930728948164,0.526,0.138,9.938344044569618e-175,25,Cttnbp2
2.6440719887538913e-178,0.9584365134303785,0.284,0.042,7.133970632856874e-174,25,Fam102b
1.0198966992071352e-177,1.0262760762076761,0.262,0.036,2.7517832841307714e-173,25,Gm38116
8.37673886504728e-175,4.318331157052151,0.685,0.244,2.2601279131784066e-170,25,Atp6v1b2
1.4600082323936233e-174,3.7982627975128,0.774,0.341,3.939248211821235e-170,25,Atp6v1d
1.9240748395637165e-174,11.451462786689724,0.952,0.764,5.1913463246268635e-170,25,Cox6c
3.0879434708063435e-174,4.059620554016892,0.925,0.654,8.331580278582596e-170,25,Cox5b
7.15161661933852e-174,0.5973873878928861,0.235,0.03,1.9295776800637263e-169,25,Lin7a
1.1772299894267195e-173,0.5074050201663112,0.113,0.007,3.176284234472232e-169,25,B230209E15Rik
1.4533717585204295e-173,0.9944081931543904,0.279,0.041,3.921342341663971e-169,25,Gm42372
1.6411384255267373e-173,4.437732241105596,0.954,0.682,4.4279555859136897e-169,25,Tecr
1.1097534656742856e-172,0.44279646803007033,0.171,0.016,2.99422582573579e-168,25,Gm44675
1.346367128658507e-172,0.8574335430056534,0.322,0.054,3.6326331498335182e-168,25,Tmem179
3.1708297710859117e-172,5.529941824538906,0.939,0.642,8.555215805366898e-168,25,Bex3
1.3178162117443978e-171,1.4005925244745594,0.386,0.077,3.55559992090756e-167,25,Gabrb3
8.675567484339189e-171,0.3134109565907674,0.1,0.005,2.3407548629495566e-166,25,Sv2c
1.3771699959545275e-170,0.351327342811941,0.473,0.112,3.7157423660849107e-166,25,Cit
3.0609170237376383e-170,1.3915482382437916,0.38,0.076,8.258660221746522e-166,25,Snap91
1.1028457875772351e-169,0.3954719080409581,0.124,0.009,2.9755882194621384e-165,25,Kcnv1
1.2138884883925246e-169,0.5002002870598359,0.197,0.022,3.2751925305318706e-165,25,Kifc2
1.0419550855001738e-168,33.66529832953218,0.867,0.473,2.811299016188019e-164,25,Cycs
3.7573884478522236e-168,1.2489847207849152,0.375,0.075,1.0137809771150085e-163,25,Ppp1r12b
1.1346598764110535e-167,1.1505570991420786,0.294,0.047,3.0614258125446635e-163,25,Chst1
2.7521706819804845e-167,0.591039949866586,0.206,0.024,7.425631717051545e-163,25,Tmem130
6.594367741578541e-167,1.912280996352328,0.287,0.045,1.7792263603553062e-162,25,Stxbp5l
8.035511610852927e-167,0.6115842968258844,0.184,0.019,2.1680613877242281e-162,25,Dlg2
2.0988621438909874e-166,5.188546127481932,0.638,0.214,5.662939950432273e-162,25,Rnf227
9.568948364913504e-166,2.8721925085697224,0.66,0.238,2.5817979583373124e-161,25,Sptbn1
4.933248145052859e-165,1.0115818086806052,0.337,0.061,1.3310396820167118e-160,25,Scn3b
1.713465376839637e-164,9.650047585042813,0.983,0.899,4.6231009332510246e-160,25,Ppia
2.4683843976285635e-164,5.626236551493479,0.954,0.622,6.659947943241627e-160,25,Auts2
5.949764272510823e-164,1.346992267872378,0.32,0.056,1.6053058983661452e-159,25,Ralyl
5.26865054205337e-162,1.0476013949908438,0.284,0.046,1.4215346027514197e-157,25,Tiam1
5.527953398873312e-162,0.7347371425666916,0.255,0.037,1.491497106550008e-157,25,Gfra4
8.701832519277934e-162,3.4389225484162442,0.806,0.352,2.3478414320263792e-157,25,Nrxn3
5.992749703438782e-161,0.7571987931821875,0.255,0.037,1.6169037974848177e-156,25,Sptbn2
8.735661187904676e-161,6.629049665442828,0.945,0.73,2.3569687451085605e-156,25,Uqcrq
1.2274241249758677e-160,6.460783659056844,0.915,0.609,3.3117130315973887e-156,25,Slc25a3
2.032400863447687e-160,1.0855652091451087,0.343,0.065,5.483620769668204e-156,25,Ggt7
2.5528373291975977e-160,3.236968083889516,0.776,0.355,6.887810397908039e-156,25,Atp6v1e1
2.5850726180334136e-160,0.565756010416634,0.172,0.018,6.974784430715953e-156,25,Gm10115
3.1549022817329077e-158,6.278628519981858,0.904,0.558,8.512241846343558e-154,25,Atp5md
1.2226569757427329e-157,2.3900900230099227,0.599,0.191,3.298850786251468e-153,25,Hprt
3.3963604717289426e-157,0.43129347693120557,0.126,0.01,9.16372018877186e-153,25,Gm37407
4.563652079153271e-157,0.36310214054475715,0.144,0.013,1.231318967476344e-152,25,Ripply2
8.119913123996256e-157,2.7009997997654818,0.796,0.373,2.1908337599854298e-152,25,Ahi1
3.098825136961373e-156,1.2917287857160857,0.395,0.087,8.36094010203548e-152,25,Celf5
1.086034353511098e-155,8.98248461091772,0.595,0.2,2.9302292892082934e-151,25,Grb2
1.7150349367925948e-155,1.4575128674819404,0.423,0.098,4.6273357629601e-151,25,Ccsap
3.461925606044629e-155,1.3720431180785604,0.436,0.104,9.340621477669013e-151,25,Adgrb3
1.2706214221855697e-154,0.6449352067407712,0.209,0.026,3.4282636591988854e-150,25,Gm47570
1.407634891634419e-153,0.691795165178767,0.149,0.014,3.7979397011188263e-149,25,Vwc2
1.4975566389747203e-153,0.6825065293471303,0.114,0.008,4.0405575676176925e-149,25,Amn
1.689524007099093e-153,0.33168269917084414,0.118,0.009,4.558504723554062e-149,25,Spata2l
3.612944874323075e-153,4.727253859310063,0.791,0.385,9.748086565411089e-149,25,Pten
8.550865050497236e-153,9.539635019027386,0.919,0.69,2.3071088992746593e-148,25,Rsrp1
2.443546492722554e-152,1.074376510279047,0.396,0.088,6.592932792014722e-148,25,Cbarp
2.8503275685033414e-152,1.1571585736205827,0.133,0.011,7.690468812578866e-148,25,Rxrg
7.731093184899235e-152,2.2190720243667,0.529,0.151,2.0859262522176625e-147,25,Fam174a
1.7068193193624574e-151,3.3854786661186465,0.75,0.324,4.6051692055718464e-147,25,Pkig
2.3659233405055478e-151,0.9701509714847051,0.237,0.034,6.383497765018018e-147,25,Rgs7bp
2.8805692986985756e-151,0.4442919597074728,0.395,0.089,7.772064024818627e-147,25,A330076H08Rik
1.2559511752759883e-150,5.492306622939761,0.952,0.644,3.388681866012144e-146,25,C230071H17Rik
3.007256321066402e-150,1.5117569837888678,0.502,0.141,8.11387827986926e-146,25,Ift57
3.8644624460833655e-150,2.568970580746851,0.502,0.143,1.0426706125777528e-145,25,Atp2a2
9.961572221038757e-150,1.6767757714297262,0.396,0.09,2.687731800958467e-145,25,Lrrtm3
1.3212030599800636e-149,4.3440613689527385,0.539,0.16,3.56473797613221e-145,25,Syt6
1.78410892232397e-149,13.026117058707609,0.897,0.582,4.813704283322303e-145,25,Atp5g1
5.69150988144062e-149,0.800741882443792,0.226,0.032,1.5356262811114937e-144,25,Rasl10b
3.365530578730527e-148,2.559959074046739,0.73,0.302,9.080538054472835e-144,25,Nrxn2
2.6888937680429486e-147,3.9360620979395557,0.551,0.172,7.25490427555668e-143,25,Csdc2
7.380475418037953e-147,3.3047124812859074,0.799,0.386,1.99132607254082e-142,25,Cd47
1.5180773176771666e-146,0.8911069383481081,0.3,0.055,4.095924410824763e-142,25,Ubr3
3.919419704537308e-146,0.3566487055061504,0.108,0.008,1.057498630481211e-141,25,Dgkg
5.556894664164388e-146,0.6862851853911379,0.232,0.034,1.4993057493381936e-141,25,Prune2
7.905971168882877e-146,14.266923486381536,0.76,0.336,2.133110081076289e-141,25,Atp6ap2
2.039530870706614e-145,0.36074954246224794,0.129,0.011,5.502858242253515e-141,25,Ppargc1b
3.2037204074750266e-145,0.7943556304141892,0.247,0.038,8.64395803140837e-141,25,Ppp3cc
9.097213512442097e-145,19.701970999931177,0.95,0.723,2.4545191777920024e-140,25,Ndufa13
1.2237135283719702e-144,2.9293713704716735,0.635,0.24,3.3017014709004125e-140,25,Ppp3r1
1.7237456460975147e-144,1.4416918811384996,0.426,0.105,4.650838127735705e-140,25,Atcay
3.02534508817564e-144,1.7151478440244112,0.423,0.105,8.162683582406694e-140,25,Sh3gl2
1.664192365680004e-142,4.438539598359377,0.136,0.012,4.4901574218412185e-138,25,Cort
3.329006025548325e-142,2.2923870562149897,0.944,0.668,8.981991157531935e-138,25,Atp6v0b
1.0731504093982137e-141,1.192618167613493,0.328,0.066,2.89546711959732e-137,25,Syne1
2.8653338453416586e-141,1.024083573538646,0.285,0.051,7.730957248116329e-137,25,Gm16141
2.984572159948662e-141,0.9156289146234418,0.282,0.05,8.052674144757486e-137,25,Clstn3
2.3842345666894167e-140,2.6866573872023514,0.682,0.282,6.432903284384715e-136,25,Emc4
3.0793555206677953e-140,0.5355340245311159,0.114,0.009,8.308409130313779e-136,25,Mcub
9.028845189415848e-140,2.4899475578685952,0.297,0.055,2.43607272055629e-135,25,Hspa2
2.5350679532752507e-139,0.3280349255884002,0.113,0.009,6.839866844731954e-135,25,Paqr9
4.6694626862904644e-139,2.364853748067057,0.426,0.11,1.2598677273880303e-134,25,Ypel5
